no_disposition;date_mutation;valeur_fonciere
1;2020-06-05;70000
1;2020-06-18;169000
1;2020-06-09;148586
1;2020-06-10;140000
1;2020-06-25;45375
1;2020-01-24;55000
1;2020-02-07;290000
1;2020-03-11;110500
1;2020-06-10;67000
1;2020-06-08;43000
1;2020-01-21;111324
1;2020-01-03;164000
1;2020-01-07;131990
1;2020-01-15;74169
1;2020-01-16;106000
1;2020-03-16;135000
1;2020-02-28;59500
1;2020-03-17;108254
1;2020-05-06;45500
1;2020-05-19;55000
1;2020-06-18;41000
1;2020-05-16;172200
1;2020-05-25;100000
1;2020-05-15;96000
1;2020-05-25;153500
1;2020-05-20;35722.61
1;2020-06-09;26500
1;2020-01-04;84000
1;2020-01-03;71000
1;2020-01-10;38550
1;2020-01-21;118500
1;2020-01-06;196000
1;2020-01-11;48000
1;2020-01-03;43000
1;2020-01-21;29800
1;2020-01-20;175000
1;2020-01-22;34000
1;2020-01-17;40000
1;2020-01-15;42000
1;2020-01-21;39735
1;2020-01-29;105000
1;2020-01-14;128690
1;2020-01-23;113330
1;2020-01-16;300000
1;2020-01-20;77000
1;2020-01-29;75000
1;2020-01-03;33880
1;2020-01-20;42800
1;2020-02-07;64000
1;2020-01-31;105375
1;2020-01-30;40000
1;2020-02-04;61000
1;2020-02-10;44585
1;2020-01-24;67830
1;2020-01-23;71000
1;2020-02-07;43000
1;2020-02-05;75000
1;2020-01-31;113000
1;2020-02-13;52800
1;2020-02-14;57000
1;2020-02-14;37000
1;2020-01-27;51000
1;2020-02-04;115000
1;2020-01-31;160500
1;2020-02-07;62500
1;2020-02-14;52500
1;2020-01-30;66450.35
1;2020-01-31;47000
1;2020-02-12;150500
1;2020-02-12;201500
1;2020-01-27;24000
1;2020-02-21;270200
1;2020-01-29;128014.89
1;2020-02-13;90000
1;2020-02-25;68730
1;2020-02-17;19000
1;2020-02-22;44000
1;2020-02-04;37000
1;2020-02-08;67500
1;2020-02-13;76600
1;2020-02-06;52300
1;2020-02-19;40000
1;2020-02-11;80000
1;2020-02-12;62000
1;2020-02-21;146200
1;2020-02-14;61500
1;2020-02-07;88000
1;2020-02-26;77000
1;2020-02-29;63500
1;2020-02-25;58000
1;2020-02-26;230000
1;2020-02-24;135700
1;2020-02-27;76000
1;2020-02-14;61400
1;2020-02-27;44000
1;2020-02-17;69300
1;2020-02-14;41500
1;2020-02-21;230000
1;2020-02-21;220000
1;2020-02-26;67560
1;2020-02-22;39980
1;2020-02-19;61700
1;2020-02-20;70020
1;2020-03-03;226750
1;2020-03-03;81860
1;2020-03-03;69450
1;2020-03-02;33000
1;2020-02-21;83000
1;2020-02-15;62700
1;2020-02-25;44000
1;2020-02-15;43000
1;2020-03-09;101000
1;2020-02-28;77000
1;2020-03-06;70200
1;2020-03-06;43000
1;2020-03-31;47200
1;2020-03-14;65000
1;2020-04-21;70000
1;2020-03-18;46890
1;2020-02-26;54090
1;2020-04-30;43500
1;2020-04-30;77400
1;2020-05-05;128490
1;2020-04-30;130000
1;2020-05-04;87000
1;2020-04-24;155000
1;2020-04-29;19400
1;2020-05-07;51400
1;2020-05-12;35000
1;2020-04-15;110000
1;2020-05-18;64500
1;2020-05-15;86000
1;2020-05-15;45000
1;2020-05-19;87000
1;2020-05-12;111300
1;2020-05-13;230000
1;2020-05-20;67500
1;2020-05-27;105000
1;2020-05-13;28500
1;2020-05-28;27000
1;2020-05-26;113000
1;2020-04-30;48700
1;2020-05-13;29900
1;2020-05-07;29500
1;2020-05-27;46937
1;2020-05-29;55500
1;2020-05-14;142500
1;2020-05-16;35000
1;2020-06-03;32500
1;2020-05-26;64050
1;2020-05-29;60000
1;2020-05-29;45710
1;2020-05-29;55500
1;2020-05-30;35500
1;2020-06-06;20140
1;2020-05-26;25650
1;2020-05-18;126000
1;2020-05-20;61000
1;2020-06-11;54000
1;2020-06-03;30500
1;2020-05-28;80000
1;2020-05-20;28350
1;2020-06-06;78500
1;2020-01-25;57950
1;2020-06-16;55000
1;2020-05-29;63000
1;2020-06-03;62000
1;2020-06-10;134300
1;2020-06-20;56000
1;2020-06-12;130000
1;2020-05-28;41000
1;2020-06-11;272000
1;2020-06-15;117000
1;2020-06-15;75000
1;2020-06-03;206000
1;2020-06-13;83000
